fullname,birthCountry
David Allan Aardsma,USA
Henry Louis Aaron,USA
Tommie Lee Aaron,USA
Donald William Aase,USA
Fausto Andres Abad,USA
Fernando Antonio Abad,D.R.
John W. Abadie,USA
Edward James Abbaticchio,USA
Bert Wood Abbey,USA
Charles S. Abbey,USA
Leander Franklin Abbott,USA
Harry Frederick Abbott,USA
William Glenn Abbott,USA
Jeffrey William Abbott,USA
James Anthony Abbott,USA
Kurt Thomas Abbott,USA
Lawrence Kyle Abbott,USA
Ody Cleon Abbott,USA
Paul David Abbott,USA
Albert Julius Aber,USA
Francis Patterson Abercrombie,USA
Reginald Damascus Abercrombie,USA
William Edward Abernathie,USA
Michael Brent Abernathy,USA
Talmadge Lafayette Abernathy,USA
Theodore Wade Abernathy,USA
Virgil Woodrow Abernathy,USA
Clifford Alexander Aberson,USA
Harry Terrell Ables,USA
Shawn Wesley Abner,USA
Calvin Ross Abrams,USA
George Allen Abrams,USA
Johnny Ray Abrego,USA
Bob Kelly Abreu,Venezuela
Joseph Lawrence Abreu,USA
Jose Dariel Abreu,Cuba
Juan de Dios Abreu,D.R.
Etanislao Toni Abreu,D.R.
Winston Leonardo Abreu,D.R.
William Henry Abstein,USA
Jeremiah Lee Accardo,USA
Alfredo Aceves,Mexico
Jose Omar Acevedo,D.R.
Juan Carlos Acevedo,Mexico
Adam Joseph Achter,USA
James Justin Acker,USA
Thomas James Acker,USA
Dustin Michael Ackley,USA
Florian Frederick Ackley,USA
Cecilio Acosta,Mexico
Eduardo Elixbet Acosta,Panama
Jose Acosta,Cuba
Manuel Alcides Acosta,Panama
Baldomero Pedro Acosta,Cuba
Mark Robert Acre,USA
Manuel Elias Acta,D.R.
Marion Danne Adair,USA
Kenneth Jerry Adair,USA
James Audrey Adair,USA
Cristhian Pascual Adames,D.R.
Ace Townsend Adams,USA
Austin David Adams,USA
Charles Benjamin Adams,USA
John Bertram Adams,USA
Robert Burnette Adams,USA
Robert Andrew Adams,USA
Robert Henry Adams,USA
Robert Melvin Adams,USA
Elvin Clark Adams,USA
Daniel Leslie Adams,USA
David Lee Adams,USA
Richard Leroy Adams,USA
Harold Douglas Adams,USA
George Henry Adams,USA
Glenn Charles Adams,USA
Herbert Loren Adams,USA
James J. Adams,USA
Joseph Edward Adams,USA
Joel Lee Adamson,USA
Karl Tutwiler Adams,USA
Lane Weston Adams,USA
Matthew James Adams,USA
John Michael Adamson,USA
Robert Michael Adams,USA
Jon Michael Adams,USA
Charles Dwight Adams,USA
Reuben Alexander Adams,USA
Ricky Lee Adams,USA
Russ Moore Adams,USA
Ryan Scott Adams,USA
Earl John Adams,USA
Spencer Dewey Adams,USA
Terry Wayne Adams,USA
James Irvin Adams,USA
William Edward Adams,USA
Joseph Wilbur Adcock,USA
Nathan Masler Adcock,USA
Robert Gordon Addis,USA
James David Adduci,USA
Jim Charles Adduci,CAN
Robert Edward Addy,CAN
Nicholas James Adenhart,USA
